FAOSTAT crop code,product,green_global avg water footprint(m3ton-1),blue_global avg water footprint(m3ton-1),grey_global avg water footprint(m3ton-1),total_global avg water footprint(m3ton-1)
15,wheat,1277,342,207,1827
27,white rice,1146,341,187,1673
27,brown rice,1488,443,242,2172
44,barley,1213,79,131,1423
56,corn,947,81,194,1222
71,rye,1419,25,99,1544
75,oats,1479,181,128,1788
79,millet,4306,57,115,4478
83,sorghum,2857,103,87,3048
89,buckwheat,2769,144,229,3142
116,potatoes,191,33,63,287
122,sweet potatoes,324,5,53,383
125,cassava,550,0,13,564
136,taro,587,3,15,606
137,yams,341,0,1,343
156,sugar cane,139,57,13,210
191,chick peas,2972,224,981,4177
201,lentils,4324,489,1060,5874
217,cashew nuts,12853,921,444,14218
220,chestnuts,2432,174,144,2750
221,almonds,9264,3816,3015,16095
222,walnuts,5293,2451,1536,9280
223,pistachios,3095,7602,666,11363
225,hazelnuts,7627,2180,709,10515
236,soy beans,2037,70,37,2145
242,peanuts,3526,214,234,3974
249,coconuts,2669,2,16,2687
260,olives,2470,499,45,3015
267,sunflower seeds,3017,148,201,3366
289,sesame seeds,8460,509,403,9371
296,poppy seeds,1723,0,464,2188
336,hempseed,3257,12,417,3685
358,cabbage,181,26,73,280
366,artichokes,478,242,98,818
367,asparagus,1524,119,507,2150
372,lettuce,133,28,77,237
373,spinach,118,14,160,292
388,tomatoes,108,63,43,214
393,cauliflowers and broccoli,189,21,75,285
393,brussels sprouts,189,21,75,285
394,"pumpkins, squash, and gourds",228,24,84,336
397,cucumbers,206,42,105,353
399,eggplants,234,33,95,362
401,chillies and green peppers,240,42,97,379
402,onions,176,44,51,272
406,garlic,337,81,170,589
414,green beans,320,54,188,561
417,peas,382,63,150,595
423,string beans,301,104,143,547
426,carrots and turnips,106,28,61,195
430,okra,474,36,65,576
486,bananas,660,97,33,790
489,plantains,1570,27,6,1602
490,oranges,401,110,49,560
495,"tangerines, manadrins, clementines",479,118,152,748
497,lemons and limes,432,152,58,642
507,grapefruit,367,85,54,506
515,apples,561,133,127,822
521,pears,645,94,183,922
526,apricots,694,502,92,1287
531,cherries,961,531,112,1604
534,peaches and nectarines,583,188,139,910
536,plums,1570,188,422,2180
544,strawberries,201,109,37,347
547,raspberries,293,53,67,413
549,gooseberries,487,8,31,526
550,currants,457,19,23,499
552,blueberries,341,334,170,845
554,cranberries,91,108,77,276
560,grapes,425,97,87,608
567,watermelons,147,25,63,235
569,figs,1527,1595,228,3350
571,"mangoes, mangosteens, guavas",1314,362,124,1800
572,avocados,849,283,849,1981
574,pineapples,215,9,31,255
577,dates,930,1250,98,2277
592,kiwi fruit,307,168,38,514
600,papayas,399,40,21,460
656,green coffee,15249,116,532,15897
656,roasted coffee,18153,139,633,18925
661,cocoa beans,19745,4,179,19928
